V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('A', 's')]; S_plus:('r', 'B'); T_star:[('A', 'B')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'D'), ('B', 'D'), ('D', 'X')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'X'), ('B', 'D'), ('D', 'X')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'B'), ('A', 'D'), ('D', 'Y')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'B'), ('A', 'X'), ('D', 'Y')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'B'), ('B', 'D'), ('D', 'Y')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'D'), ('B', 'D'), ('D', 'Y')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'X'), ('B', 'D'), ('D', 'Y')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'B'), ('A', 'D'), ('A', 'X')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'B'), ('A', 'X'), ('B', 'D')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'D'), ('A', 'X'), ('B', 'D')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'B'), ('A', 'D'), ('D', 'X')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'B'), ('A', 'X'), ('D', 'X')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'B'), ('B', 'D'), ('D', 'X')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'D'), ('B', 'D'), ('D', 'X')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'X'), ('B', 'D'), ('D', 'X')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'B'), ('A', 'D'), ('D', 'Y')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'B'), ('A', 'X'), ('D', 'Y')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'B'), ('B', 'D'), ('D', 'Y')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'D'), ('B', 'D'), ('D', 'Y')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'X'), ('B', 'D'), ('D', 'Y')]
