Name,Address,gmap_id,description,Latitude,Longitude,category,Aggregate Rating,num_of_reviews,price,hours,MISC,City,state,Cuisines,Average Cost
Alfies Restaurant,"Alfies Restaurant, 986 Fairmount Ave, Jamestown, NY 14701",0x89d2abd70a1113df:0xc1b60fc624d068d6,"Casual American eatery offering burgers, pasta & seafood in a kid-friendly setting with a full bar.",42.097805,-79.29316709999999,"['American restaurant', 'Restaurant']",4.0,189,$$,"[['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–10PM'], ['Sunday', 'Closed']]","{'Service options': ['Takeout', 'Delivery'], 'Amenities': ['Good for kids']}",Jamestown,New York,American Cuisine,41
Marrakesh Restaurant,"Marrakesh Restaurant, 1201 NW 21st Ave, Portland, OR 97209",0x549509fadc6cd119:0xdb0a01c02997f48d,"Fixed-price traditional meals served on ornate, pillowed low banquettes, plus regular belly dancing.",45.5313996,-122.6947512,['Moroccan restaurant'],4.5,1068,$$,"[['Sunday', '5–10PM'], ['Monday', '5–10PM'], ['Tuesday', '5–10PM'], ['Wednesday', '5–10PM'], ['Thursday', '5–10PM'], ['Friday', '5–10PM'], ['Saturday', '5–10PM']]","{'Service options': ['No-contact delivery', 'Delivery', 'Takeout', 'Dine-in'], 'Highlights': ['Great tea selection', 'Live music'], 'Popular for': ['Dinner'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Coffee', 'Comfort food', 'Halal food', 'Happy hour drinks', 'Healthy options', 'Small plates', 'Vegetarian options'], 'Dining options': ['Dinner', 'Catering', 'Dessert', 'Seating'], 'Atmosphere': ['Casual', 'Cozy', 'Romantic'], 'Crowd': ['Family-friendly', 'Groups', 'Tourists'], 'Planning': ['Dinner reservations recommended', 'Accepts reservations']}",Portland,Oregon,African & Middle Eastern Cuisine,33
City Lunch Restaurant,"City Lunch Restaurant, 2101 Ingalls St, San Francisco, CA 94124",0x808f7f1636bf2d85:0xc40383f7499fd5de,,37.725809,-122.3868195,['Restaurant'],4.4,88,$,"[['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '6AM–3PM'], ['Tuesday', '6AM–3PM'], ['Wednesday', '6AM–3PM'], ['Thursday', '6AM–3PM'], ['Friday', '6AM–3PM']]","{'Service options': ['Takeout', 'Delivery'], 'Health & safety': ['Mask required', 'Staff required to disinfect surfaces between visits'], 'Popular for': ['Breakfast', 'Lunch', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Alcohol', 'Coffee', 'Comfort food', 'Healthy options', 'Quick bite', 'Small plates'], 'Amenities': ['Good for kids'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['Groups']}",San Francisco,California,American Cuisine,46
El Guacalito Restaurant,"El Guacalito Restaurant, 13960 SW 8th St, Miami, FL 33184",0x88d9bf7d61640e47:0xfafc42d42fb77d1e,,25.7600275,-80.4216137,['Restaurant'],4.5,54,,"[['Monday', '11AM–11PM'], ['Tuesday', '11AM–11PM'], ['Wednesday', '11AM–11PM'], ['Thursday', '11AM–11PM'], ['Friday', '11AM–12AM'], ['Saturday', '11AM–12AM'], ['Sunday', '11AM–11PM']]","{'Service options': ['Curbside pickup', 'Takeout', 'Dine-in'], 'Health & safety': ['Mask required', 'Temperature check required', 'Staff wear masks', 'Staff get temperature checks', 'Staff required to disinfect surfaces between visits'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Alcohol', 'Beer', 'Comfort food', 'Quick bite'], 'Amenities': ['Bar onsite', 'Good for kids'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['Groups'], 'Planning': ['Accepts reservations']}",Miami,Florida,American Cuisine,31
Cheetah Lounge/ Alluvia Restaurant,"Cheetah Lounge/ Alluvia Restaurant, 887 Spring St NW, Atlanta, GA 30308",0x88f504670b741be1:0x94857c3c108cbf1b,,33.7791903,-84.3886395,"['Night club', 'Restaurant']",3.6,205,,"[['Monday', '3PM–3AM'], ['Tuesday', '3PM–3AM'], ['Wednesday', '3PM–3AM'], ['Thursday', '3PM–3AM'], ['Friday', '3PM–3AM'], ['Saturday', '3PM–3AM'], ['Sunday', 'Closed']]","{'Service options': ['Dine-in', 'Delivery', 'Takeout'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Alcohol', 'Beer', 'Cocktails', 'Dancing', 'Food', 'Hard liquor', 'Wine'], 'Dining options': ['Seating'], 'Amenities': ['Gender-neutral restroom'], 'Payments': ['Debit cards']}",Atlanta,Georgia,American Cuisine,38
Sintra Restaurant,"Sintra Restaurant, 1024 NW Bond St #2068, Bend, OR 97701, United States",0x54b8c89d9d40d10d:0xc8e9570fa02eefec,"Lively, warmly decorated Portuguese cafe offering omelets & sandwiches for breakfast & lunch.",44.059165,-121.3115573,"['Portuguese restaurant', 'Bar', 'Breakfast restaurant', 'Brunch restaurant', 'Cafe', 'European restaurant', 'Restaurant']",4.5,398,₩₩,"[['Wednesday', '7:30AM–3PM'], ['Thursday', '7:30AM–3PM'], ['Friday', '7:30AM–3PM'], ['Saturday', '7:30AM–3PM'], ['Sunday', '7:30AM–2PM'], ['Monday', '7:30AM–3PM'], ['Tuesday', '7:30AM–3PM']]","{'Service options': ['Outdoor seating', 'Curbside pickup', 'No-contact delivery', 'Takeaway', 'Dine-in', 'Delivery'], 'Health and safety': ['Mask required', 'Staff required to disinfect surfaces between visits'], 'Highlights': ['Great coffee', 'Great tea selection'], 'Popular for': ['Breakfast', 'Lunch', 'Solo dining'], 'Accessibility': ['Wheelchair-accessible entrance', 'Wheelchair-accessible toilet'], 'Offerings': ['Alcohol', 'Beer', 'Cocktails', 'Coffee', 'Comfort food', 'Healthy options', 'Quick bite', 'Small plates', 'Spirits', 'Vegetarian options', 'Wine'], 'Dining options': ['Breakfast', 'Lunch', 'Dessert', 'Seating'], 'Amenities': ['Bar on site', 'Good for kids', 'High chairs', 'Toilets', 'Wi-Fi'], 'Atmosphere': ['Casual', 'Cosy'], 'Crowd': ['Family friendly', 'Groups', 'Tourists', 'University students'], 'Payments': ['Debit cards', 'NFC mobile payments', 'Credit cards']}",Bend,Oregon,European Cuisine,17
Portugalia Bar & Restaurant,"Portugalia Bar & Restaurant, 280 1/2 Ferry St, Newark, NJ 07105",0x89c253848bca0c0b:0xfcdf03e90ea02517,Traditional Portuguese fare is dished up at this  simple corner eatery with a convivial ambiance.,40.728895,-74.1517927,['Portuguese restaurant'],4.6,417,,"[['Saturday', '9AM–9PM'], ['Sunday', '9AM–9PM'], ['Monday', '9AM–8PM'], ['Tuesday', '9AM–8PM'], ['Wednesday', '9AM–8PM'], ['Thursday', '9AM–8PM'], ['Friday', '9AM–8PM']]","{'Service options': ['Curbside pickup', 'Delivery', 'Takeout', 'Dine-in'], 'Highlights': ['Great coffee', 'Great dessert'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Offerings': ['Alcohol', 'Beer', 'Coffee', 'Comfort food', 'Hard liquor', 'Healthy options', 'Late-night food', 'Quick bite', 'Small plates', 'Wine'], 'Dining options': ['Lunch', 'Dinner', 'Catering', 'Dessert', 'Seating'], 'Amenities': ['Bar onsite', 'Good for kids', 'High chairs', 'Wi-Fi'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['Family-friendly', 'Groups', 'Tourists'], 'Planning': ['Lunch reservations recommended'], 'Payments': ['Debit cards', 'Credit cards']}",Newark,New Jersey,European Cuisine,29
Pal Campo Restaurant Tampa,"Pal Campo Restaurant Tampa, 9218 Anderson Rd, Tampa, FL 33634",0x88c2c19fa2836c49:0x7cb4c781a54dfe95,"Upbeat eatery with colorful decor, serving classic Puerto Rican dishes & cocktails.",28.0316735,-82.5411025,['Puerto Rican restaurant'],4.4,2166,$$,"[['Saturday', '12–11PM'], ['Sunday', '12–10PM'], ['Monday', '12–10PM'], ['Tuesday', '12–10PM'], ['Wednesday', '12–10PM'], ['Thursday', '12–10PM'], ['Friday', '12–11PM']]","{'Service options': ['Outdoor seating', 'Curbside pickup', 'Delivery', 'Takeout', 'Dine-in'], 'Health & safety': ['Mask required', 'Staff wear masks', 'Staff get temperature checks', 'Staff required to disinfect surfaces between visits'], 'Highlights': ['Great coffee', 'Great dessert'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot', 'Wheelchair accessible restroom'], 'Offerings': ['Alcohol', 'Beer', 'Cocktails', 'Coffee', 'Comfort food', 'Happy hour food', 'Hard liquor', 'Healthy options', ""Kids' menu"", 'Late-night food', 'Quick bite', 'Wine'], 'Dining options': ['Lunch', 'Dinner', 'Dessert'], 'Amenities': ['Bar onsite', 'Good for kids', 'High chairs', 'Restroom'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['Family-friendly', 'Groups', 'Tourists'], 'Payments': ['Debit cards', 'Credit cards']}",Tampa,Florida,Latin American Cuisine,38
Yang Restaurant,"Yang Restaurant, 924 Broad St, Providence, RI 02907",0x89e44f88505d5311:0x8ae3cd2a0dbb0f94,,41.799241,-71.4155109,['Chinese restaurant'],4.3,155,$,"[['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '11AM–11PM'], ['Monday', '11AM–11PM'], ['Tuesday', '11AM–11PM'], ['Wednesday', '11AM–11PM'], ['Thursday', '11AM–11PM']]","{'Service options': ['Takeout', 'Dine-in'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Comfort food', 'Quick bite', 'Small plates', 'Vegetarian options'], 'Amenities': ['Good for kids'], 'Atmosphere': ['Casual'], 'Crowd': ['College students', 'Groups']}",Providence,Rhode Island,Chinese Cuisine,43
George's Family Restaurant,"George's Family Restaurant, 1721 West Rd, Trenton, MI 48183",0x883b391259747b9f:0x509e29d1779ef850,"Compact, time-tested restaurant offering homestyle American fare with free dessert in a homey space.",42.1410992,-83.18911949999999,"['Restaurant', 'Family restaurant']",4.5,408,$,"[['Monday', '7AM–8PM'], ['Tuesday', '7AM–8PM'], ['Wednesday', '7AM–8PM'], ['Thursday', '7AM–8PM'], ['Friday', '7AM–9PM'], ['Saturday', '7AM–3PM'], ['Sunday', '7AM–3PM']]","{'Service options': ['Curbside pickup', 'Takeout', 'Dine-in', 'Delivery'], 'Health & safety': ['Mask required', 'Staff required to disinfect surfaces between visits'], 'Highlights': ['Fast service', 'Great coffee'], 'Popular for': ['Breakfast', 'Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Coffee', 'Comfort food', 'Healthy options', ""Kids' menu"", 'Quick bite', 'Small plates'], 'Dining options': ['Dessert'], 'Amenities': ['Good for kids', 'High chairs'], 'Atmosphere': ['Casual', 'Cozy']}",Trenton,Michigan,European Cuisine,20
Yuanho gao chineses restaurant 中國餐廳外賣,"Yuanho gao chineses restaurant 中國餐廳外賣, 117 Maury Ave, Charlottesville, VA 22903",0x89b3865e1adf7653:0x824a645063f7fa72,"Modest take-out place offering Chinese noodles & stir-fries, plus some Japanese dishes.",38.026868,-78.515952,"['Chinese restaurant', 'Chinese takeaway', 'Delivery Chinese restaurant', 'Delivery Restaurant', 'Restaurant', 'Seafood restaurant']",4.1,128,$,"[['Sunday', '12–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', 'Closed']]","{'Service options': ['No-contact delivery', 'Delivery', 'Takeout', 'Dine-in'], 'Health & safety': ['Mask required'], 'Highlights': ['Fast service'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot', 'Wheelchair accessible seating'], 'Offerings': ['Quick bite'], 'Amenities': ['Good for kids'], 'Atmosphere': ['Casual'], 'Crowd': ['College students', 'Groups']}",Charlottesville,Virginia,Seafood & Organic Cuisine,31
India Restaurant,"India Restaurant, 1060 Hope St, Providence, RI 02906, United States",0x89e444b7b6985f57:0xe4531c7c1fa01a84,"Elegant venue for vegetarians & non, enhanced by Bollywood films & belly dancing.",41.8560833,-71.391729,"['Indian restaurant', 'Asian restaurant', 'Bar', 'Brunch restaurant', 'Buffet restaurant', 'Gluten-free restaurant', 'Meal delivery', 'Takeout restaurant', 'Vegan restaurant', 'Vegetarian restaurant']",4.8,3481,₩₩,"[['Saturday', '11AM–10PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–10PM']]","{'Service options': ['Outdoor seating', 'Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeaway', 'Dine-in'], 'Health and safety': ['Mask required', 'Staff required to disinfect surfaces between visits'], 'Highlights': ['Fast service', 'Fireplace', 'Great cocktails', 'Great tea selection', 'LGBTQ-friendly', 'Sport', 'Transgender safe space'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair-accessible entrance', 'Wheelchair-accessible lift', 'Wheelchair-accessible seating', 'Wheelchair-accessible toilet'], 'Offerings': ['Alcohol', 'All you can eat', 'Beer', 'Cocktails', 'Coffee', 'Comfort food', 'Halal food', 'Happy-hour drinks', 'Happy-hour food', 'Healthy options', ""Kids' menu"", 'Late-night food', 'Organic dishes', 'Quick bite', 'Salad bar', 'Small plates', 'Spirits', 'Vegetarian options', 'Wine'], 'Dining options': ['Lunch', 'Dinner', 'Catering', 'Dessert', 'Seating'], 'Amenities': ['Bar on site', 'Good for kids', 'High chairs', 'Toilets', 'Wi-Fi'], 'Atmosphere': ['Casual', 'Cosy', 'Romantic', 'Upmarket'], 'Crowd': ['Family friendly', 'Groups', 'Tourists', 'University students'], 'Planning': ['Dinner reservations recommended', 'Accepts reservations'], 'Payments': ['Cheques', 'Debit cards', 'Credit cards']}",Providence,Rhode Island,Seafood & Organic Cuisine,19
Los Mayas Restaurant,"Los Mayas Restaurant, 1212 Grand Ave #12, Billings, MT 59102",0x53487ca0ee354183:0xbe1431f39ba2d749,,45.7833602,-108.5467039,"['Mexican restaurant', 'Restaurant']",4.3,224,$,"[['Sunday', 'Closed'], ['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM']]","{'Service options': ['No-contact delivery', 'Delivery', 'Takeout', 'Dine-in'], 'Health & safety': ['Mask required'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Coffee', 'Comfort food', ""Kids' menu"", 'Quick bite'], 'Dining options': ['Lunch', 'Dinner', 'Dessert'], 'Amenities': ['Good for kids', 'High chairs', 'Restroom'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['Groups'], 'Payments': ['Debit cards']}",Billings,Montana,Latin American Cuisine,33
Mitmita Ethiopian Restaurant,"Mitmita Ethiopian Restaurant, 4901 W Linebaugh Ave, Tampa, FL 33624",0x88c2c1fea5d997df:0xde4f412471e245a1,,28.0408259,-82.52648959999999,['Restaurant'],4.7,185,,"[['Sunday', '4–10PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–2PM'], ['Wednesday', '11AM–2PM'], ['Thursday', '11AM–2PM'], ['Friday', '11AM–2PM'], ['Saturday', '11AM–2PM']]","{'Service options': ['Curbside pickup', 'Takeout', 'Dine-in', 'Delivery'], 'Health & safety': ['Mask required', 'Staff wear masks'], 'Highlights': ['Great coffee'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot', 'Wheelchair accessible restroom', 'Wheelchair accessible seating'], 'Offerings': ['Alcohol', 'Beer', 'Coffee', 'Comfort food', 'Halal food', 'Healthy options', 'Small plates', 'Vegetarian options', 'Wine'], 'Dining options': ['Lunch', 'Dinner', 'Catering', 'Dessert', 'Seating'], 'Amenities': ['Good for kids', 'High chairs', 'Restroom'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['Family-friendly', 'Groups'], 'Planning': ['Accepts reservations'], 'Payments': ['Debit cards', 'NFC mobile payments', 'Credit cards']}",Tampa,Florida,American Cuisine,15
Elephant Bar Restaurant,"Elephant Bar Restaurant, 2240 Louisiana Blvd NE, Albuquerque, NM 87110",0x87220acfb615b6c1:0x7930175017e9ab07,"Informal chain with a menu built on Pan-Asian, wok-fired plates & global fare.",35.1034247,-106.5684348,"['American restaurant', 'Asian restaurant', 'Bar', 'Cocktail bar', 'Restaurant']",4.1,1174,$$,"[['Tuesday', 'Closed'], ['Wednesday', 'Closed'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–8PM'], ['Monday', '11AM–8PM']]","{'Service options': ['Outdoor seating', 'Curbside pickup', 'Delivery', 'Takeout', 'Dine-in'], 'Health & safety': ['Mask required', 'Staff wear masks', 'Staff get temperature checks', 'Staff required to disinfect surfaces between visits'], 'Highlights': ['Fast service', 'Great dessert'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot', 'Wheelchair accessible restroom', 'Wheelchair accessible seating'], 'Offerings': ['Alcohol', 'Beer', 'Cocktails', 'Coffee', 'Comfort food', 'Happy hour drinks', 'Happy hour food', 'Hard liquor', 'Healthy options', ""Kids' menu"", 'Late-night food', 'Small plates', 'Vegetarian options', 'Wine'], 'Dining options': ['Dinner', 'Dessert'], 'Amenities': ['Bar onsite', 'Good for kids', 'High chairs'], 'Atmosphere': ['Casual', 'Cozy', 'Upscale'], 'Crowd': ['College students', 'Groups', 'Tourists'], 'Payments': ['Debit cards']}",Albuquerque,New Mexico,African & Middle Eastern Cuisine,18
Cancun Mexican Restaurant,"Cancun Mexican Restaurant, 4409 Chapman Hwy suite e, Knoxville, TN 37920",0x885c182749394547:0xc3b6f6f375073583,,35.9320269,-83.9053237,"['Mexican restaurant', 'Restaurant']",4.0,568,$,"[['Sunday', '11AM–9PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM']]","{'Service options': ['Outdoor seating', 'Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in'], 'Health & safety': ['Mask required', 'Staff required to disinfect surfaces between visits'], 'Highlights': ['Live music'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot', 'Wheelchair accessible restroom', 'Wheelchair accessible seating'], 'Offerings': ['Alcohol', 'Beer', 'Cocktails', 'Coffee', 'Comfort food', 'Happy hour drinks', 'Happy hour food', 'Hard liquor', 'Healthy options', ""Kids' menu"", 'Late-night food', 'Quick bite', 'Small plates', 'Vegetarian options', 'Wine'], 'Dining options': ['Lunch', 'Dinner', 'Dessert'], 'Amenities': ['Bar onsite', 'Good for kids', 'Wi-Fi'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['College students', 'Family-friendly', 'Groups', 'Tourists'], 'Planning': ['Accepts reservations']}",Knoxville,Tennessee,Latin American Cuisine,46
Mild Wally's Delivery Restaurant,"Mild Wally's Delivery Restaurant, 189A Quail St, Albany, NY 12203",0x89de0a4954ae3da3:0x8a359dd8f616ca2c,"Pizza, wings, subs & a variety of fried apps in a tiny parlor luring late-night college crowds.",42.6622952,-73.7771384,['Pizza restaurant'],4.0,94,$,"[['Sunday', '11AM–9PM'], ['Monday', '4–9PM'], ['Tuesday', '4–9PM'], ['Wednesday', '4–9PM'], ['Thursday', '4–9PM'], ['Friday', '4–9PM'], ['Saturday', '4–9PM']]","{'Service options': ['Takeout', 'Delivery'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Comfort food', 'Late-night food'], 'Dining options': ['Lunch', 'Dinner', 'Catering', 'Dessert'], 'Amenities': ['Good for kids', 'Restroom'], 'Crowd': ['Family-friendly'], 'Payments': ['Debit cards']}",Albany,New York,European Cuisine,42
Gallito's Cafe Restaurant & lounge,"Gallito's Cafe Restaurant & lounge, 2100 NW 36th St, Miami, FL 33142",0x88d9b12af768cef3:0xdd6d20d8f9e686c7,,25.809164,-80.230098,['Honduran restaurant'],4.0,205,,"[['Monday', '7AM–11PM'], ['Tuesday', '7AM–11PM'], ['Wednesday', '7AM–11PM'], ['Thursday', '7AM–11PM'], ['Friday', '12–4AM'], ['Saturday', '7AM–5AM'], ['Sunday', '7AM–11PM']]","{'Service options': ['Curbside pickup', 'Delivery', 'Takeout', 'Dine-in'], 'Health & safety': ['Mask required', 'Staff required to disinfect surfaces between visits'], 'Highlights': ['Great coffee', 'Live music'], 'Popular for': ['Breakfast', 'Lunch', 'Dinner', 'Solo dining'], 'Offerings': ['Coffee', 'Comfort food', 'Healthy options', 'Quick bite', 'Small plates'], 'Dining options': ['Breakfast', 'Lunch', 'Dinner', 'Catering', 'Dessert', 'Seating'], 'Amenities': ['Good for kids'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['Family-friendly', 'Groups'], 'Payments': ['Debit cards', 'Credit cards']}",Miami,Florida,Latin American Cuisine,43
Apple Creek Restaurant,"Apple Creek Restaurant, 2501 University Blvd NE, Albuquerque, NM 87107",0x872274a911661c13:0xacc072e2971ae329,,35.1111495,-106.6246721,['American restaurant'],3.8,4,,"[['Saturday', '6AM–11PM'], ['Sunday', '6AM–11PM'], ['Monday', '6AM–11PM'], ['Tuesday', '6AM–11PM'], ['Wednesday', '6AM–11PM'], ['Thursday', '6AM–11PM'], ['Friday', '6AM–11PM']]","{'Service options': ['Takeout', 'Dine-in', 'Delivery'], 'Highlights': ['Great coffee'], 'Popular for': ['Lunch', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Coffee', 'Comfort food', 'Quick bite'], 'Dining options': ['Dessert'], 'Amenities': ['Good for kids'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['Groups']}",Albuquerque,New Mexico,American Cuisine,45
Pho Cali Restaurant,"Pho Cali Restaurant, 830 N Wickham Rd, Melbourne, FL 32935",0x88de0e5493ebad5d:0x8036b7056aedb146,"Bright spot with a traditional menu that includes a large variety of noodle soups, plus sandwiches.",28.1194931,-80.6729427,['Vietnamese restaurant'],4.4,526,$,"[['Saturday', '11AM–9:30PM'], ['Sunday', '11AM–8PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9:30PM']]","{'Service options': ['Delivery', 'Takeout', 'Dine-in'], 'Health & safety': ['Staff required to disinfect surfaces between visits'], 'Highlights': ['Great tea selection'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Coffee', 'Comfort food', 'Healthy options', 'Quick bite', 'Small plates', 'Vegetarian options'], 'Dining options': ['Dessert'], 'Amenities': ['Good for kids', 'High chairs'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['College students', 'Groups', 'Tourists'], 'Payments': ['NFC mobile payments']}",Melbourne,Florida,African & Middle Eastern Cuisine,19
Monterrey Mexican Restaurant,"Monterrey Mexican Restaurant, 2801 Poinsett Hwy, Greenville, SC 29609",0x88583230af8ada63:0xcd9d8584959ad94c,Mexican favorites & many flavors of margaritas in a casual space with traditional accents.,34.9063148,-82.4219742,"['Mexican restaurant', 'Latin American restaurant', 'Restaurant']",4.0,883,$,"[['Monday', '11AM–10:30PM'], ['Tuesday', '11AM–10:30PM'], ['Wednesday', '11AM–10:30PM'], ['Thursday', '11AM–10:30PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '11AM–10PM']]","{'Service options': ['Takeout', 'Dine-in', 'Delivery'], 'Health & safety': ['Mask required'], 'Highlights': ['Fast service'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot', 'Wheelchair accessible restroom', 'Wheelchair accessible seating'], 'Offerings': ['Alcohol', 'Coffee', 'Comfort food', 'Happy hour food', ""Kids' menu"", 'Quick bite', 'Small plates'], 'Dining options': ['Dessert'], 'Amenities': ['Good for kids', 'High chairs'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['College students', 'Groups', 'Tourists']}",Greenville,South Carolina,Latin American Cuisine,10
Meriwether's Restaurant & Skyline Farm,"Meriwether's Restaurant & Skyline Farm, 2601 NW Vaughn St #2223, Portland, OR 97210, United States",0x549509e62b5ac591:0x97449a9cccde7661,"Fresh Pacific NW cuisine served in romantic building, with garden patio, on 1905 World's Fair site.",45.536958,-122.705208,"['American restaurant', 'Bar']",4.2,365,₩₩₩,"[['Wednesday', 'Closed'], ['Thursday', 'Closed'], ['Friday', 'Closed'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', 'Open 24 hours'], ['Tuesday', '12–12:15AM']]","{'Service options': ['Outdoor seating', 'Takeaway', 'Delivery'], 'Highlights': ['Fireplace'], 'Accessibility': ['Wheelchair-accessible entrance'], 'Offerings': ['Alcohol', 'Beer', 'Cocktails', 'Coffee', 'Comfort food', 'Happy-hour food', 'Organic dishes', 'Small plates', 'Spirits', 'Vegetarian options', 'Wine'], 'Dining options': ['Lunch', 'Dinner', 'Dessert', 'Seating'], 'Amenities': ['Bar on site', 'High chairs', 'Toilets', 'Wi-Fi'], 'Crowd': ['Family friendly'], 'Planning': ['Accepts reservations'], 'Payments': ['Debit cards']}",Portland,Oregon,American Cuisine,20
China Palace Restaurant,"China Palace Restaurant, 1908 S Saginaw Rd, Midland, MI 48640",0x8823d5b0dee92f01:0x84557f5a2a523681,"Chinese eatery with lanterns, prints & wood carvings offering a menu along with buffet options.",43.6131447,-84.213757,['Delivery Chinese restaurant'],4.2,590,$$,"[['Monday', 'Closed'], ['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM'], ['Saturday', '12–8PM'], ['Sunday', '12–8PM']]","{'Service options': ['Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in'], 'Accessibility': ['Wheelchair accessible entrance']}",Midland,Michigan,Chinese Cuisine,22
