Name,Address,gmap_id,description,Latitude,Longitude,category,Aggregate Rating,num_of_reviews,price,hours,MISC,City,state
Greenville Museum of Art,"Greenville Museum of Art, 802 Evans St, Greenville, NC 27834",0x89aee7e337b54f2b:0x2435d20db0a68ae3,,35.60796,-77.374167,"['Art museum', 'Library', 'Museum', 'Non-profit organization', 'Tourist attraction']",4.4,18,,"[['Tuesday', '10AM??4:30PM'], ['Wednesday', '10AM??4:30PM'], ['Thursday', '10AM??4:30PM'], ['Friday', '10AM??4:30PM'], ['Saturday', '10AM??4:30PM'], ['Sunday', 'Closed'], ['Monday', 'Closed']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids', 'Restaurant']}",Greenville,North Carolina
Graham Park,"Graham Park, 800 Walnut St, Greenville, TX 75401",0x864be8fd8f78f99b:0xca40733af47ffdd0,,33.153662,-96.1188003,"['Park', 'Tourist attraction']",4.4,487,,"[['Wednesday', '6AM??10:30PM'], ['Thursday', '6AM??10:30PM'], ['Friday', '6AM??10:30PM'], ['Saturday', '6AM??10:30PM'], ['Sunday', '6AM??10:30PM'], ['Monday', '6AM??10:30PM'], ['Tuesday', '6AM??10:30PM']]","{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Amenities': ['Good for kids']}",Greenville,Texas
RTJ Golf Trail at Cambrian Ridge,"RTJ Golf Trail at Cambrian Ridge, 101 Sunbelt Pkwy, Greenville, AL 36037",0x888e391a38c6e6ab:0x54cb6cabea0b837a,,31.8977193,-86.6861956,"['Golf club', 'Tourist attraction']",4.8,188,,,{'Accessibility': ['Wheelchair accessible entrance']},Greenville,Alabama
Splashpoint,"Splashpoint, 1700 Chestnut St, Greenville, NC 27834",0x89aee804a41b86c9:0x193c1a65ca25c3d7,,35.6041466,-77.3888307,"['Water park', 'Tourist attraction']",4.3,114,,"[['Thursday', '12??6PM'], ['Friday', '12??6PM'], ['Saturday', '12??6PM'], ['Sunday', '1??6PM'], ['Monday', '12??6PM'], ['Tuesday', '12??6PM'], ['Wednesday', '12??6PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids', 'Restaurant']}",Greenville,North Carolina
Bicycle Post Mountain Bike Trails,"Bicycle Post Mountain Bike Trails, Greenville, NC 27834",0x89aeeb9a26162051:0x6586f082c967220,,35.6845563,-77.5022903,"['Park', 'Tourist attraction']",4.6,56,,,{'Amenities': ['Good for kids']},Greenville,North Carolina
Greenville Railroad Museum Park,"Greenville Railroad Museum Park, 314 Main St, Greenville, PA 16125",0x8833b6c4cb142cef:0x4b80865ab64f6410,,41.4078031,-80.3813805,['Tourist attraction'],4.6,166,,"[['Sunday', '1??5PM'], ['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', 'Closed'], ['Thursday', 'Closed'], ['Friday', 'Closed'], ['Saturday', '1??5PM']]","{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Amenities': ['Good for kids']}",Greenville,Pennsylvania
Danish Kingdom Playground,"Danish Kingdom Playground, 900 E Kent Rd, Greenville, MI 48838",0x88188cf1fcca04fd:0xb1d6d55329b54513,,43.1781644,-85.2409552,"['Park', 'Tourist attraction']",4.4,274,,"[['Saturday', '7AM??10PM'], ['Sunday', '7AM??10PM'], ['Monday', '7AM??10PM'], ['Tuesday', '7AM??10PM'], ['Wednesday', '7AM??10PM'], ['Thursday', '7AM??10PM'], ['Friday', '7AM??10PM']]","{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Amenities': ['Good for kids']}",Greenville,Michigan
Greenville Community Park,"Greenville Community Park, N1683 Greenville Dr, Greenville, WI 54942",0x8803c941864ab951:0x3d3e180f7ea4f5ca,,44.299999,-88.539088,"['Park', 'Tourist attraction']",4.4,66,,"[['Tuesday', '6AM??10PM'], ['Wednesday', '6AM??10PM'], ['Thursday', '6AM??10PM'], ['Friday', '6AM??10PM'], ['Saturday', '6AM??10PM'], ['Sunday', '6AM??10PM'], ['Monday', '6AM??10PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Greenville,Wisconsin
Special Memories Zoo,"Special Memories Zoo, W7013 Spring Rd, Greenville, WI 54942",0x8803cebdac3db445:0xad19539b827b448e,Small spot with seasonal exhibits of native & exotic animals also features train rides.,44.300884,-88.542276,"['Zoo', 'Tourist attraction']",3.8,274,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Greenville,Wisconsin
Storyteller Statue,"Storyteller Statue, 2114 Kalakaua Ave, Honolulu, HI 96815",0x7c006de8aa35c701:0xc29c28e15080f37,,21.2820374,-157.8307764,['Tourist attraction'],4.2,3,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Honolulu,Hawaii
Luke Field,"Luke Field, 1845 Wasp Blvd, Honolulu, HI 96818",0x7c00658d6e93efad:0x467390feb3d66866,,21.3684609,-157.9601954,"['Historical landmark', 'Tourist attraction']",4.5,4,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Honolulu,Hawaii
Hawaiian Mission Houses Historic Site and Archives,"Hawaiian Mission Houses Historic Site and Archives, 553 S King St, Honolulu, HI 96813",0x7c006de02992d141:0x434d679a7c11effe,Complex with restored homes & workplaces of 19th-century Christian missionaries & a visitor center.,21.3040406,-157.8569992,"['Historical place', 'Library', 'Museum', 'Tourist attraction']",4.7,28,,"[['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '10:30AM??2:30PM'], ['Wednesday', 'Closed'], ['Thursday', 'Closed'], ['Friday', '10:30AM??2:30PM'], ['Saturday', '10:30AM??3:30PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Honolulu,Hawaii
Queen Lili??uokalani Statue,"Queen Lili??uokalani Statue, 21024001, Honolulu, HI 96813",0x7c006f8a9d0f9681:0xe1b7130a7f3ce266,,21.3070702,-157.8578191,"['Historical landmark', 'Tourist attraction']",4.6,5,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Honolulu,Hawaii
Kalihi Union Church,"Kalihi Union Church, 2214 N King St, Honolulu, HI 96819",0x7c006ef4d5c692b5:0xfe3b87e0cfa73856,,21.33566,-157.880345,"['Church', 'Tourist attraction']",4.7,98,,,"{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot']}",Honolulu,Hawaii
Honolulu Marathon Association,"Honolulu Marathon Association, 3435 Waialae Ave STE 208, Honolulu, HI 96816",0x7c006d7bd0330385:0x59c3f00bd26a39a6,,21.2843227,-157.8026227,"['Non-profit organization', 'Tourist attraction']",4.8,6,,,,Honolulu,Hawaii
Hawaiian Chinese Multicultural Museum & Archives,"Hawaiian Chinese Multicultural Museum & Archives, 1120 Maunakea St #280, Honolulu, HI 96817",0x7c006e76aa846cd9:0x50b4687d6e67a0c3,,21.3127062,-157.8630724,"['Museum', 'Tourist attraction']",3.4,8,,"[['Friday', '10AM??2PM'], ['Saturday', '10AM??2PM'], ['Sunday', 'Closed'], ['Monday', '10AM??2PM'], ['Tuesday', '10AM??2PM'], ['Wednesday', '10AM??2PM'], ['Thursday', '10AM??2PM']]","{'Amenities': ['Good for kids', 'Restaurant']}",Honolulu,Hawaii
The AKAL? Chapel,"The AKAL? Chapel, 230 Paoa Pl, Honolulu, HI 96815",0x7c006dfc9337a747:0x7f519af168c5f569,,21.2825408,-157.8367534,"['Wedding chapel', 'Tourist attraction']",4.4,8,,,{'Accessibility': ['Wheelchair accessible entrance']},Honolulu,Hawaii
Kaumakapili Church,"Kaumakapili Church, 766 N King St, Honolulu, HI 96817",0x7c006e7afc559869:0xd5a7f560bc319d4c,,21.3216651,-157.8665051,"['Church', 'Tourist attraction']",4.6,53,,,"{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot']}",Honolulu,Hawaii
Lanai Lookout,"Lanai Lookout, 8102 Kalaniana??ole Hwy, Honolulu, HI 96825, United States",0x7c001213ec213a81:0xfbb3aa8175e138e1,"Popular lookout point featuring panoramic views of the ocean, cliffs & neighboring islands.",21.2764765,-157.6856114,"['Scenic spot', 'Tourist attraction', 'Vista point']",4.8,1721,,"[['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours']]",,Honolulu,Hawaii
Koko Head District Park,"Koko Head District Park, 423 Kaumakani St, Honolulu, HI 96825, United States",0x7c0012135ce17305:0x2a326b14c61e47e6,"Sprawling collection of sports fields, gardens, picnic areas & stairs climbing a volcanic crater.",21.2774105,-157.6942131,"['Park', 'Hiking area', 'Tourist attraction']",4.7,5208,,"[['Sunday', '7AM??10PM'], ['Monday', '7AM??10PM'], ['Tuesday', '7AM??10PM'], ['Wednesday', '7AM??10PM'], ['Thursday', '7AM??10PM'], ['Friday', '7AM??10PM'], ['Saturday', '7AM??10PM']]","{'Accessibility': ['Wheelchair-accessible entrance'], 'Amenities': ['Good for kids']}",Honolulu,Hawaii
Waikiki Beach,"Waikiki Beach, Honolulu, HI 96815, United States",0x7c00727682b6f4b1:0xc40785ec7f44b90f,"Palm-lined beach overlooked by high-rise hotels, with a statue of surf legend Duke Paoa Kahanamoku.",21.2761457,-157.8269113,['Tourist attraction'],4.6,916,,"[['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours']]","{'Accessibility': ['Wheelchair-accessible entrance'], 'Amenities': ['Good for kids']}",Honolulu,Hawaii
Freedom Tower,"Freedom Tower, 800-898 Manzelman Cir, Honolulu, HI 96818",0x7c00657870fdf3cd:0xca10a23a48cbde83,,21.3429215,-157.9622348,"['Historical landmark', 'Tourist attraction']",4.6,28,,,,Honolulu,Hawaii
Ke'ehi Harbor,"Ke'ehi Harbor, 4 Sand Island Access Rd, Honolulu, HI 96819",0x7c006e4669a4ac23:0x1da339d0fdd13e20,,21.315403,-157.890766,"['Harbor', 'Tourist attraction']",3.9,98,,,,Honolulu,Hawaii
Oahu Luau,"Oahu Luau, 1122-C 2nd Ave c11, Honolulu, HI 96816",0x7c006d0a0120cf21:0x1911d02b3b358932,,21.2875939,-157.8114973,['Tourist attraction'],5.0,8,,"[['Wednesday', '8AM??9PM'], ['Thursday', '8AM??9PM'], ['Friday', '8AM??9PM'], ['Saturday', '8AM??9PM'], ['Sunday', '8AM??9PM'], ['Monday', '8AM??9PM'], ['Tuesday', '8AM??9PM']]",{'Amenities': ['Good for kids']},Honolulu,Hawaii
King David Kal??kaua Statue,"King David Kal??kaua Statue, 2050 Kalakaua Ave, Honolulu, HI 96815, United States",0x7c006d8b3d5b3989:0x644d31f5b230b196,,21.2839332,-157.831693,['Tourist attraction'],4.3,18,,"[['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours']]","{'Accessibility': ['Wheelchair-accessible entrance', 'Wheelchair-accessible car park'], 'Amenities': ['Good for kids']}",Honolulu,Hawaii
Jikoen Hongwanji,"Jikoen Hongwanji, 1731 N School St, Honolulu, HI 96819",0x7c006e8ef7afb3a3:0xfa6ac1a7ed09c9a,,21.336279,-157.8701868,"['Buddhist temple', 'Tourist attraction']",4.3,28,,,"{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot']}",Honolulu,Hawaii
Koko Crater Arch Trail,"Koko Crater Arch Trail, Honolulu, HI 96825",0x7c001218006ade63:0xeea1eec3bb9bea80,,21.2806776,-157.6785362,"['Hiking area', 'Tourist attraction']",4.8,18,,,{'Accessibility': ['Wheelchair accessible entrance']},Honolulu,Hawaii
Church of the Crossroads,"Church of the Crossroads, 1212 University Ave, Honolulu, HI 96826",0x7c006d909c9505d5:0xde7758aff483ca04,,21.2938173,-157.8214892,"['United Church of Christ', 'Church', 'Tourist attraction']",4.6,33,,,{'Accessibility': ['Wheelchair accessible entrance']},Honolulu,Hawaii
Koko Crater Arch,"Koko Crater Arch, Kalaniana??ole Hwy, Honolulu, HI 96825",0x7c00128cbde92d15:0xe9ca6bf685bf769e,,21.2816005,-157.6819688,"['Hiking area', 'Tourist attraction']",4.9,18,,,{'Accessibility': ['Wheelchair accessible entrance']},Honolulu,Hawaii
GREENROOM GALLERY Hawaii,"GREENROOM GALLERY Hawaii, 2255 Kalakaua Ave, Honolulu, HI 96815",0x7c0072767c98979b:0xadebf259d8da9114,,21.2776509,-157.8304983,"['Art gallery', 'Tourist attraction']",4.5,8,,"[['Saturday', '8AM??10PM'], ['Sunday', '8AM??10PM'], ['Monday', '8AM??10PM'], ['Tuesday', '8AM??10PM'], ['Wednesday', '8AM??10PM'], ['Thursday', '8AM??10PM'], ['Friday', '8AM??10PM']]","{'Amenities': ['Good for kids', 'Restaurant']}",Honolulu,Hawaii
Kamehameha Community Park,"Kamehameha Community Park, 1400 Kalihi St, Honolulu, HI 96819",0x7c006e8910bb2d53:0x60833a7612cde121,,21.3347194,-157.8726381,"['City park', 'Park', 'Tourist attraction']",3.9,88,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Honolulu,Hawaii
Daijingu Temple of Hawaii,"Daijingu Temple of Hawaii, 61 Puiwa Rd, Honolulu, HI 96817",0x7c006c3718589779:0x6e8fabb3cafbed96,,21.3352008,-157.8375154,"['Buddhist temple', 'Tourist attraction']",4.4,66,,,,Honolulu,Hawaii
"Public Art ""Surfer on a Wave""","Public Art ""Surfer on a Wave"", Kapahulu-Zoo Trail, Honolulu, HI 96815",0x7c00727061bb11ad:0xb6d5fcabd614cd64,,21.2704932,-157.8224525,['Tourist attraction'],4.4,7,,"[['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Honolulu,Hawaii
"Public Art ""Makua and Kila""","Public Art ""Makua and Kila"", K??hi?? Beach, Honolulu, HI 96815",0x7c007270edb06853:0x76ba48d468041857,,21.271527,-157.8229417,"['Sculpture', 'Tourist attraction']",4.6,27,,"[['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours']]",{'Accessibility': ['Wheelchair accessible entrance']},Honolulu,Hawaii
Moanalua Gardens Cottage,"Moanalua Gardens Cottage, 2850-A Moanalua Rd, Honolulu, HI 96819",0x7c006f91c11c8eef:0x5cd5545d71c051a6,,21.3478038,-157.8924757,['Tourist attraction'],3.0,1,,"[['Wednesday', '7:30AM??5PM'], ['Thursday', '7:30AM??5PM'], ['Friday', '7:30AM??5PM'], ['Saturday', '7:30AM??5PM'], ['Sunday', '7:30AM??5PM'], ['Monday', '7:30AM??5PM'], ['Tuesday', '7:30AM??5PM']]",,Honolulu,Hawaii
The Adventure Boat,"The Adventure Boat, 1651 Ala Moana Blvd, Honolulu, HI 96815",0x7c006d1fca591875:0x2f793f554001150b,,21.2825231,-157.8409302,"['Boat tour agency', 'Boat rental service', 'Tour operator', 'Tourist attraction']",5.0,48,,"[['Friday', '7AM??7PM'], ['Saturday', '7AM??7PM'], ['Sunday', '7AM??7PM'], ['Monday', '7AM??7PM'], ['Tuesday', '7AM??7PM'], ['Wednesday', '7AM??7PM'], ['Thursday', '7AM??7PM']]","{'From the business': ['Identifies as veteran-led'], 'Service options': ['Online appointments'], 'Health & safety': ['Appointment required', 'Staff wear masks', 'Staff get temperature checks', 'Staff required to disinfect surfaces between visits']}",Honolulu,Hawaii
Kings Guard Museum,"Kings Guard Museum, 2410 Koa Ave, Honolulu, HI 96815",0x7c007276593e6b8b:0xacdbda72fc025956,,21.2769817,-157.8249006,"['Museum', 'Tourist attraction']",3.8,6,,"[['Thursday', '10AM??10:30PM'], ['Friday', '10AM??10:30PM'], ['Saturday', '10AM??10:30PM'], ['Sunday', '10AM??10:30PM'], ['Monday', '10AM??10:30PM'], ['Tuesday', '10AM??10:30PM'], ['Wednesday', '10AM??10:30PM']]","{'Amenities': ['Good for kids', 'Restaurant']}",Honolulu,Hawaii
Jarvis Island National Wildlife Refuge,"Jarvis Island National Wildlife Refuge, 1403 Fox Blvd, Honolulu, HI 96818",0x70a843b472e03905:0x2e36ef6ec2bb0542,,-0.35213,-159.9550338,"['Wildlife refuge', 'Tourist attraction']",3.8,55,,,,Honolulu,Hawaii
Ginger Pond,"Ginger Pond, Judd Trail, Honolulu, HI 96817",0x7c006c67fb8527df:0xf7b2813d0bc5b1ee,,21.3470027,-157.8207942,['Tourist attraction'],4.5,158,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Honolulu,Hawaii
Oahu Catamarans,"Oahu Catamarans, 1025 Ala Moana Blvd Pier A Slip 0, Honolulu, HI 96814",0x7c006dfd118fc84b:0xd98f1d040d5f6ec0,,21.2927882,-157.85525,"['Boat rental service', 'Tourist attraction']",4.8,84,,"[['Thursday', '8AM??6PM'], ['Friday', '8AM??6PM'], ['Saturday', '8AM??6PM'], ['Sunday', '8AM??6PM'], ['Monday', '8AM??6PM'], ['Tuesday', '8AM??6PM'], ['Wednesday', '8AM??6PM']]",,Honolulu,Hawaii
Aihualama Trail,"Aihualama Trail, Na Ala Hele: Aihualama Trail, Honolulu, HI 96822",0x7c006cf2fac064a1:0xb9b2bedba878be71,This short waterfall trail connects to the Pauoa Flats Trail & the Manoa Falls Trail.,21.3413975,-157.7996972,"['Hiking area', 'Tourist attraction']",4.7,178,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Honolulu,Hawaii
Battery Hasbrouck,"Battery Hasbrouck, Fort Kamehameha, Honolulu, HI 96818",0x7c0065666027a4b5:0xb64f65cfd915f10c,,21.3250832,-157.9613131,"['Historical landmark', 'Tourist attraction']",4.5,28,,,{'Amenities': ['Good for kids']},Honolulu,Hawaii
Battery Jackson,"Battery Jackson, Fort Kamehameha, Mamala Bay Dr, Honolulu, HI 96818",0x7c00655e475cef9d:0xb4cbbb3d9ee0caf9,,21.3186043,-157.9563832,"['Historical landmark', 'Tourist attraction']",4.6,16,,,{'Amenities': ['Good for kids']},Honolulu,Hawaii
Hawaii State Capitol,"Hawaii State Capitol, 415 S Beretania St, Honolulu, HI 96813",0x7c006e755a0fffff:0xe67105e727887580,"Grand 1960s capitol building with an atrium, courtyards, memorials & statues, with tours available.",21.3072405,-157.8574296,"['State government office', 'Tourist attraction']",4.4,55,,"[['Thursday', '7:45AM??6PM'], ['Friday', '7:45AM??6PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '7:45AM??6PM'], ['Tuesday', '7:45AM??6PM'], ['Wednesday', '7:45AM??6PM']]",{'Accessibility': ['Wheelchair accessible entrance']},Honolulu,Hawaii
Banyan Tree,"Banyan Tree, Langley Ave, Honolulu, HI 96818",0x7c006f5fee43358d:0xfb3e245e8d99887b,,21.3654706,-157.9514791,"['Historical place museum', 'Tourist attraction']",4.8,18,,,"{'Amenities': ['Good for kids', 'Restaurant']}",Honolulu,Hawaii
Kamanaiki Trail,"Kamanaiki Trail, 1803-1807 Manaiki Pl, Honolulu, HI 96819",0x7c006e9fc887a67b:0x4bf0e0552c6cab0f,,21.3495631,-157.8582197,"['Hiking area', 'Tourist attraction']",3.8,18,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Honolulu,Hawaii
Washington Place,"Washington Place, 320 S Beretania St, Honolulu, HI 96813",0x7c006ddf8443270f:0x23c8a7261d419fea,"Built in 1847, this mansion has been the home of Hawaii's rulers, starting with Queen Lili'uokalani.",21.3087948,-157.8566603,"['Museum', 'Tourist attraction']",4.7,48,,"[['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', 'Closed'], ['Thursday', '10??11AM'], ['Friday', 'Closed'], ['Saturday', 'Closed']]",,Honolulu,Hawaii
Cathedral Basilica of Our Lady of Peace,"Cathedral Basilica of Our Lady of Peace, 1184 Bishop St, Honolulu, HI 96813",0x7c006e75bbaa8e31:0xac0c0ad83c97ef66,"Built in 1843, this cathedral is known for its Romanesque revival architecture made of coral blocks.",21.3107157,-157.8595769,"['Catholic cathedral', 'Tourist attraction']",4.6,178,,"[['Sunday', '5:30AM??7:15PM'], ['Monday', '6AM??4PM'], ['Tuesday', '6AM??4PM'], ['Wednesday', '6AM??4PM'], ['Thursday', '6AM??4PM'], ['Friday', '6AM??4PM'], ['Saturday', '6:30AM??6:30PM']]","{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot']}",Honolulu,Hawaii
Sky Gate,"Sky Gate, 558 S King St, Honolulu, HI 96813",0x7c006de03f31d525:0xf75df96848a27fb5,,21.3044727,-157.8556273,"['Sculpture', 'Tourist attraction']",4.5,17,,"[['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours']]",,Honolulu,Hawaii
Soto Mission of Hawaii Shoboji,"Soto Mission of Hawaii Shoboji, 1708 Nuuanu Ave, Honolulu, HI 96817",0x7c006e78974da6b9:0x16cf6b89daad4891,,21.3183787,-157.8548546,"['Buddhist temple', 'Tourist attraction']",4.2,33,,,,Honolulu,Hawaii
Mauna ??Ala ?? Royal Mausoleum State Monument,"Mauna ??Ala ?? Royal Mausoleum State Monument, 2261 Nuuanu Ave, Honolulu, HI 96817",0x7c006c2cadf81807:0x1c76121da639f50b,"Burial place of King Kalakaua, Queen Kapiolani and 16 other Hawaiian royals, with guided tours.",21.3252722,-157.847325,"['Cemetery', 'Tourist attraction']",4.4,26,,"[['Sunday', 'Closed'], ['Monday', '8:30AM??4:30PM'], ['Tuesday', '8:30AM??4:30PM'], ['Wednesday', '8:30AM??4:30PM'], ['Thursday', '8:30AM??4:30PM'], ['Friday', '8:30AM??4:30PM'], ['Saturday', 'Closed']]",{'Accessibility': ['Wheelchair accessible entrance']},Honolulu,Hawaii
Kauluwela Community Park,"Kauluwela Community Park, 402 Kauluwela Pl, Honolulu, HI 96817",0x7c006e7834aed3ed:0xe913a4d9f0e6b888,,21.319154,-157.859926,"['City park', 'Park', 'Tourist attraction']",4.0,8,,"[['Saturday', '5AM??10PM'], ['Sunday', '5AM??10PM'], ['Monday', '5AM??10PM'], ['Tuesday', '5AM??10PM'], ['Wednesday', '5AM??10PM'], ['Thursday', '5AM??10PM'], ['Friday', '5AM??10PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Honolulu,Hawaii
The Cathedral of St. Andrew,"The Cathedral of St. Andrew, 229 Queen Emma Square, Honolulu, HI 96813",0x7c006ddf61526671:0x35e004078b2a2db7,Moderate-sized Episcopal cathedral begun in 1867 & featuring elaborate 1950s stained-glass windows.,21.3098349,-157.857183,"['Cathedral', 'Tourist attraction']",4.7,218,,,"{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot']}",Honolulu,Hawaii
YWCA Laniakea,"YWCA Laniakea, 1040 Richards St, Honolulu, HI 96813",0x7c006e7526564477:0xa36065cf68852f92,,21.3075681,-157.8597353,"['Non-profit organization', 'Tourist attraction']",4.6,68,,"[['Friday', '6:30AM??4:30PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '6:30AM??4:30PM'], ['Tuesday', '6:30AM??4:30PM'], ['Wednesday', '6:30AM??4:30PM'], ['Thursday', '6:30AM??4:30PM']]",{'Accessibility': ['Wheelchair accessible entrance']},Honolulu,Hawaii
King Kamehameha V Judiciary History Center,"King Kamehameha V Judiciary History Center, 417 S King St, Honolulu, HI 96813",0x7c006e0ade4c5c45:0x2d7ce8ad902954ae,,21.3051958,-157.8603886,"['Museum', 'Historical landmark', 'History museum', 'Tourist attraction']",4.7,55,,"[['Friday', '8AM??4PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM??4PM'], ['Tuesday', '8AM??4PM'], ['Wednesday', '8AM??4PM'], ['Thursday', '8AM??4PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Restroom', 'Restaurant']}",Honolulu,Hawaii
Hawaii Nature Center,"Hawaii Nature Center, 2131 Makiki Heights Dr, Honolulu, HI 96822",0x7c006db9cfe40da7:0x2ad9b76f67a505f0,,21.3155345,-157.8282192,"['Non-profit organization', 'Association or organization', 'Tourist attraction']",4.8,55,,,{'Accessibility': ['Wheelchair accessible entrance']},Honolulu,Hawaii
Koyasan Shingon Mission branch temple,"Koyasan Shingon Mission branch temple, 915 Sheridan St, Honolulu, HI 96814",0x7c006deedad4b8a9:0xe4304f7a15b89a41,,21.2978993,-157.8409675,"['Buddhist temple', 'Tourist attraction']",4.5,36,,,,Honolulu,Hawaii
Wiliwilinui Hiking Trail,"Wiliwilinui Hiking Trail, 2390 Okoa St, Honolulu, HI 96821",0x7c006d34a758a5d1:0x5a7f2802644997d2,Steep reserve trail along a ridge through koa and guava forest & lush native vegetation.,21.2990018,-157.7626496,"['Hiking area', 'Tourist attraction']",4.8,228,,"[['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours']]",{'Accessibility': ['Wheelchair accessible entrance']},Honolulu,Hawaii
Tripler Ridge Trail,"Tripler Ridge Trail, Honolulu, HI 96819",0x7c006ec7c4042961:0x3830af7e61c3fea3,,21.3650773,-157.8824125,"['Hiking area', 'Tourist attraction']",4.7,66,,"[['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours']]",{'Amenities': ['Good for kids']},Honolulu,Hawaii
Diamond Head Bark Park,"Diamond Head Bark Park, 4155 Diamond Head Rd, Honolulu, HI 96816",0x7c0072851f7f3ba9:0xea967b6e77c5d6b2,,21.2672137,-157.7990419,"['Dog park', 'Tourist attraction']",4.6,106,,"[['Thursday', '7AM??6PM'], ['Friday', '7AM??6PM'], ['Saturday', '7AM??6PM'], ['Sunday', '7AM??6PM'], ['Monday', '7AM??6PM'], ['Tuesday', '7AM??6PM'], ['Wednesday', '7AM??6PM']]",{'Accessibility': ['Wheelchair accessible entrance']},Honolulu,Hawaii
USS Oklahoma Memorial,"USS Oklahoma Memorial, Langley Ave, Honolulu, HI 96818",0x7c00658ac3c917e5:0x356d2686722c3138,"Marble monument to the Pearl Harbor servicemen who died aboard the USS Oklahoma on December 7, 1940.",21.3635109,-157.9543955,"['War memorial', 'Historical place', 'Tourist attraction']",4.8,93,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Honolulu,Hawaii
