V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('A', 's')]; S_plus:('r', 'B'); T_star:[('A', 'B')]; mono_vars: ['c', 'd', 's', 'e', 'f']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A', 'R'); T_star:[('B', 'A'), ('B', 'D')]; mono_vars: ['c', 'd', 'e', 'f']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A', 'R'); T_star:[('B', 'A'), ('D', 'A')]; mono_vars: ['b', 'c', 'd', 'e', 'f']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A', 'R'); T_star:[('B', 'D'), ('D', 'A')]; mono_vars: ['b', 'c', 'e', 'f']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A', 'R'); T_star:[('B', 'A'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A', 'R'); T_star:[('B', 'D'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A', 'R'); T_star:[('B', 'A'), ('D', 'Y')]; mono_vars: ['b', 's', 'e']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A', 'R'); T_star:[('B', 'D'), ('D', 'Y')]; mono_vars: ['b', 'e']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('R', 'Q', 'A'); T_star:[('B', 'A'), ('B', 'D')]; mono_vars: ['c', 'd', 'e', 'f']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('R', 'Q', 'A'); T_star:[('B', 'A'), ('D', 'A')]; mono_vars: ['b', 'c', 'd', 'e', 'f']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('R', 'Q', 'A'); T_star:[('B', 'D'), ('D', 'A')]; mono_vars: ['b', 'c', 'e', 'f']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('R', 'Q', 'A'); T_star:[('B', 'A'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('R', 'Q', 'A'); T_star:[('B', 'D'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('R', 'Q', 'A'); T_star:[('B', 'A'), ('D', 'Y')]; mono_vars: ['b', 's', 'e']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('R', 'Q', 'A'); T_star:[('B', 'D'), ('D', 'Y')]; mono_vars: ['b', 'e']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'B'), ('A', 'D'), ('A', 'X')]; mono_vars: ['b', 'd', 'e', 'f']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'B'), ('A', 'X'), ('B', 'D')]; mono_vars: ['d', 'e', 'f']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'D'), ('A', 'X'), ('B', 'D')]; mono_vars: ['b', 'e', 'f']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'B'), ('A', 'D'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'B'), ('A', 'X'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'B'), ('B', 'D'), ('D', 'X')]; mono_vars: ['f']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'D'), ('B', 'D'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'X'), ('B', 'D'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'B'), ('A', 'D'), ('D', 'Y')]; mono_vars: ['b', 's', 'e']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'B'), ('A', 'X'), ('D', 'Y')]; mono_vars: ['b', 'e']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'B'), ('B', 'D'), ('D', 'Y')]; mono_vars: ['s', 'e']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'D'), ('B', 'D'), ('D', 'Y')]; mono_vars: ['b', 'e']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'X'), ('B', 'D'), ('D', 'Y')]; mono_vars: ['b', 'e']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'B'), ('A', 'D'), ('A', 'X')]; mono_vars: ['b', 'd', 'e', 'f']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'B'), ('A', 'X'), ('B', 'D')]; mono_vars: ['d', 'e', 'f']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'D'), ('A', 'X'), ('B', 'D')]; mono_vars: ['b', 'e', 'f']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'B'), ('A', 'D'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'B'), ('A', 'X'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'B'), ('B', 'D'), ('D', 'X')]; mono_vars: ['f']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'D'), ('B', 'D'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'X'), ('B', 'D'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'B'), ('A', 'D'), ('D', 'Y')]; mono_vars: ['b', 's', 'e']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'B'), ('A', 'X'), ('D', 'Y')]; mono_vars: ['b', 'e']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'B'), ('B', 'D'), ('D', 'Y')]; mono_vars: ['s', 'e']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'D'), ('B', 'D'), ('D', 'Y')]; mono_vars: ['b', 'e']
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:('Q', 'R'); T_star:[('A', 'X'), ('B', 'D'), ('D', 'Y')]; mono_vars: ['b', 'e']
